city_name,state,is_saturated,difference
Carnelian Bay,California,true,-755
Caroga Lake,New York,true,-586
Carolina Beach,North Carolina,true,-1030
Carpinteria,California,true,-843
Carp Lake,Michigan,true,-451
Carrabassett Valley,Maine,false,2071
Carrabelle,Florida,true,-275
Carrboro,North Carolina,true,-395
Carroll,New Hampshire,true,-70
Carrollton,Georgia,true,-450
Carrollton,Texas,true,-728
Carson,California,false,659
Carson,Washington,true,-744
Carson City,Nevada,true,-625
Cartersville,Georgia,true,-625
Cary,North Carolina,true,-426
Casa Grande,Arizona,true,-169
Cascade,Idaho,true,-1151
Cascade,Montana,true,-884
Cascade-chipita Park,Colorado,true,-1400
Casco,Maine,true,-1713
Caseville,Michigan,true,-1072
Cashiers,North Carolina,true,-1801
Casper,Wyoming,true,-751
Castle Rock,Colorado,true,-1415
Castleton,Vermont,false,337
Castro Valley,California,true,-579
Cathedral City,California,true,-302
Catonsville,Maryland,true,-128
Catskill,New York,true,-963
Cave Creek,Arizona,true,-784
Cavendish,Vermont,false,186
Cayce,South Carolina,true,-1082
Cayucos,California,true,-404
Cazadero,California,false,147
Cedar,Michigan,true,-1685
Cedar Bluff,Alabama,true,-1271
Cedarburg,Wisconsin,true,-600
Cedar City,Utah,true,-603
Cedar Creek,Texas,true,-1059
Cedaredge,Colorado,true,-539
Cedar Falls,Iowa,true,-689
Cedar Hill,Texas,true,-318
Cedar Key,Florida,true,-341
Cedar Park,Texas,true,-802
Cedar Rapids,Iowa,true,-1089
Celebration,Florida,false,551
Celina,Ohio,true,-585
Celina,Tennessee,true,-900
Celina,Texas,true,-1322
Centennial,Colorado,true,-686
Centennial,Wyoming,true,-857
Center Point,Texas,false,172
Central,South Carolina,true,-1398
Central Lake,Michigan,false,44540
Central Point,Oregon,true,-745
Chagrin Falls,Ohio,true,-639
Challis,Idaho,true,-510
Chalmette,Louisiana,false,184
Chambersburg,Pennsylvania,true,-693
Champaign,Illinois,true,-516
Champion,Pennsylvania,true,-417
Championsgate,Florida,true,-1107
Champions Gate,Florida,true,-1215
Chandler,Arizona,true,-297
Chandler,Texas,true,-489
Chantilly,Virginia,true,-230
Chanute,Kansas,false,143
Chapel Hill,North Carolina,true,-659
Chapin,South Carolina,true,-778
Charlemont,Massachusetts,true,-597
Charleston,South Carolina,true,-355
Charleston,West Virginia,true,-459
Charlestown,Rhode Island,true,-870
Charles Town,West Virginia,true,-868
Charlevoix,Michigan,true,-1839
Charlotte,North Carolina,true,-867
Charlotte,Vermont,false,177
Charlottesville,Virginia,true,-841
Chassell,Michigan,true,-13
Chatham,Massachusetts,true,-1319
Chatham,New York,true,-1911
Chattanooga,Tennessee,true,-567
Chaumont,New York,true,-443
Cheboygan,Michigan,true,-1270
Cheektowaga,New York,true,-398
Chelan,Washington,true,-1538
Chelsea,Massachusetts,true,-1015
Cherokee,North Carolina,true,-168
Cherokee Village,Arkansas,true,-215
Cherry Hill,New Jersey,true,-619
Cherry Log,Georgia,true,-1360
Chesapeake,Virginia,false,243
Chesapeake City,Maryland,true,-244
Chester,California,true,-1523
Chester,Vermont,true,-743
Chesterfield,Virginia,true,-395
Chesterton,Indiana,true,-1698
Chestertown,Maryland,true,-1444
Chestertown,New York,true,-686
Chetek,Wisconsin,true,-517
Chevy Chase,Maryland,true,-941
Cheyenne,Wyoming,true,-722
Chicago,Illinois,true,-909
Chickamauga,Georgia,true,-994
Chico,California,true,-636
Chillicothe,Ohio,true,-809
Chilmark,Massachusetts,true,-1394
Chiloquin,Oregon,true,-598
Chincoteague,Virginia,true,-833
Chincoteague Island,Virginia,true,-963
Chino,California,true,-996
Chino Hills,California,true,-527
Chippewa Falls,Wisconsin,true,-1195
Christiansburg,Virginia,false,351
Chula Vista,California,true,-3607
Cibolo,Texas,true,-569
Cincinnati,Ohio,true,-669
Citrus Heights,California,true,-894
Clackamas County,Oregon,true,-705
Clare,Michigan,true,-483
Claremont,California,true,-521
Claremore,Oklahoma,true,-640
Clarkdale,Arizona,true,-452
Clarkesville,Georgia,true,-1059
Clarksdale,Mississippi,true,-452
Clarkston,Michigan,true,-219
Clarkston,Washington,true,-379
Clarksville,Arkansas,false,87
Clarksville,Tennessee,true,-612
Clarksville,Virginia,true,-1211
Claysburg,Pennsylvania,true,-449
Clayton,Georgia,true,-1318
Clayton,Missouri,true,-1079
Clayton,New York,true,-950
Clayton,North Carolina,false,162
Clearfield,Utah,true,-566
Clearlake,California,true,-968
Clear Lake,Iowa,true,-1008
Clearlake Oaks,California,true,-704
Clearwater,Florida,false,215
Clearwater Beach,Florida,false,2110
Cle Elum,Washington,true,-2722
Clemson,South Carolina,true,-734
Clermont,Florida,true,-566
Cleveland,Georgia,true,-1364
Cleveland,Ohio,true,-410
Cleveland,South Carolina,true,-1473
Cleveland,Tennessee,true,-495
Cleveland Heights,Ohio,true,-494
Clewiston,Florida,true,-326
Clifton,Colorado,true,-754
Clifton,New Jersey,true,-848
Clifton,Texas,true,-200
Clifton Park,New York,true,-331
Clifton Township,Pennsylvania,true,-1746
Clinton,Connecticut,true,-539
Clinton,New York,true,-548
Clinton,Washington,true,-1609
Cloudcroft,New Mexico,true,-956
Cloverdale,Oregon,true,-852
Clovis,California,true,-692
Clyde,North Carolina,true,-995
Clymer,New York,true,-649
Coachella,California,true,-270
Coalville,Utah,true,-76
Coarsegold,California,true,-379
Coatesville,Pennsylvania,true,-1172
Cocoa,Florida,false,189
Cocoa Beach,Florida,false,354
Coconino County,Arizona,true,-1060
Cody,Wyoming,true,-820
Coeur D'alene,Idaho,true,-1259
Colbert,Washington,true,-728
Colchester,Vermont,true,-360
Coldspring,Texas,true,-160
Cold Spring,New York,true,-1379
Cold Springs,California,true,-195
Coldwater,Michigan,true,-1240
Colebrook,New Hampshire,true,-913
Colfax,California,false,21
College Park,Georgia,false,195
College Place,Washington,true,-435
College Station,Texas,true,-538
Coloma,Michigan,true,-1503
Colonial Beach,Virginia,true,-862
Colorado Springs,Colorado,true,-781
Columbia,Maryland,false,670
Columbia,Missouri,true,-364
Columbia,South Carolina,true,-753
Columbia,Tennessee,true,-1702
Columbia Falls,Montana,true,-1858
Columbus,Georgia,true,-537
Columbus,Indiana,true,-586
Columbus,North Carolina,true,-910
Columbus,Ohio,true,-676
Comfort,Texas,true,-443
Commerce City,Colorado,true,-370
Compton,Arkansas,true,-604
Concan,Texas,true,-1018
Concord,California,true,-521
Concord,New Hampshire,false,320
Concord,North Carolina,true,-389
Concrete,Washington,true,-709
Conesus,New York,true,-667
Confluence,Pennsylvania,true,-753
Conifer,Colorado,true,-1230
Conneaut,Ohio,true,-771
Conneaut Lake,Pennsylvania,false,5296
Conroe,Texas,true,-888
Converse,Texas,true,-266
Conway,Arkansas,true,-347
Conway,New Hampshire,true,-941
Conway,South Carolina,true,-1050
Conyers,Georgia,true,-578
Cooke City-silver Gate,Montana,false,107
Cookeville,Tennessee,true,-676
Cookson,Oklahoma,true,-405
Coolbaugh Township,Pennsylvania,true,-1698
Cooper Landing,Alaska,false,575
Cooperstown,New York,false,144
Coos Bay,Oregon,true,-703
Copake,New York,true,-1439
Copalis Beach,Washington,true,-962
Copperas Cove,Texas,true,-534
Copperhill,Tennessee,true,-906
Copper Mountain,Colorado,true,-537
Coral Gables,Florida,true,-611
Coral Springs,Florida,false,17
Coram,Montana,true,-2392
Corinth,New York,true,-1713
Corinth,Vermont,true,-474
Cornelius,North Carolina,true,-3125
Corning,New York,true,-538
Cornish,Maine,false,603
Cornville,Arizona,true,-212
Cornwall,Connecticut,true,-1166
Cornwall,New York,true,-4654
Corolla,North Carolina,true,-1823
Corona,California,true,-537
Coronado,California,true,-901
Corpus Christi,Texas,true,-700
Corrales,New Mexico,true,-505
Corsicana,Texas,false,281
Cortez,Colorado,true,-616
Cortland,New York,true,-240
Corvallis,Montana,true,-400
Corvallis,Oregon,true,-640
Cosby,Tennessee,true,-1211
Coshocton,Ohio,true,-709
Costa Mesa,California,true,-959
Cotopaxi,Colorado,true,-1309
Cottage Grove,Oregon,true,-365
Cotter,Arkansas,true,-283
Cottonwood,Arizona,true,-301
Cottonwood Heights,Utah,false,68
Coudersport,Pennsylvania,true,-807
Coulterville,California,false,896
Counce,Tennessee,true,-33
Council Bluffs,Iowa,true,-208
Coupeville,Washington,true,-1585
Coventry,Connecticut,true,-333
Covina,California,true,-157
Covington,Georgia,true,-258
Covington,Kentucky,true,-582
Covington,Louisiana,true,-897
Covington,Virginia,true,-203
Coxsackie,New York,true,-4762
Crane Hill,Alabama,false,48
Cranston,Rhode Island,true,-518
Craryville,New York,true,-1585
Crawfordville,Florida,true,-483
Creede,Colorado,true,-475
Creola,Ohio,true,-1470
Crescent,Oregon,true,-728
Crescent City,California,true,-273
Crescent City,Florida,true,-274
Cresco,Pennsylvania,true,-1544
Crested Butte,Colorado,true,-527
Crestline,California,true,-884
Crestone,Colorado,false,2803
Cripple Creek,Colorado,true,-1038
Crivitz,Wisconsin,true,-759
